scanTime,CH1,CH2,CH3,CH4,id1,flag1,x1,y1,id2,flag2,x2,y2,id3,flag3,x3,y3,id4,flag4,x4,y4,id5,flag5,x5,y5,button,pressure
22835,2043,2042,2046,2049,1,3,465,778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22907,2044,2044,2048,2060,1,3,465,778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22981,2046,2045,2052,2086,0,3,254,724,1,3,465,778,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23052,2046,2047,2056,2106,0,3,254,724,1,3,465,778,0,0,0,0,0,0,0,0,0,0,0,0,0,1
23123,2047,2048,2057,2120,0,3,254,724,1,3,465,778,0,0,0,0,0,0,0,0,0,0,0,0,0,2
23194,2048,2048,2060,2131,0,3,254,724,1,3,465,778,0,0,0,0,0,0,0,0,0,0,0,0,0,3
23264,2049,2049,2060,2141,0,3,254,724,1,3,465,778,0,0,0,0,0,0,0,0,0,0,0,0,0,4
23335,2048,2050,2062,2151,0,3,254,724,1,3,465,778,0,0,0,0,0,0,0,0,0,0,0,0,0,5
23405,2049,2050,2064,2160,0,3,254,724,1,3,465,778,0,0,0,0,0,0,0,0,0,0,0,0,0,6
23479,2050,2051,2064,2168,0,3,254,724,1,3,465,778,0,0,0,0,0,0,0,0,0,0,0,0,0,7
23547,2050,2051,2066,2175,0,3,254,724,1,3,465,778,0,0,0,0,0,0,0,0,0,0,0,0,0,8
23621,2051,2052,2067,2184,0,3,254,724,1,3,465,778,0,0,0,0,0,0,0,0,0,0,0,0,0,9
23689,2051,2052,2068,2192,0,3,254,724,1,3,465,778,0,0,0,0,0,0,0,0,0,0,0,0,0,10
23763,2051,2053,2069,2195,0,3,254,724,1,3,465,778,0,0,0,0,0,0,0,0,0,0,0,0,0,11
23829,2051,2053,2070,2201,0,3,254,724,1,3,465,778,0,0,0,0,0,0,0,0,0,0,0,0,0,11
23900,2051,2054,2070,2206,0,3,254,724,1,3,465,778,0,0,0,0,0,0,0,0,0,0,0,0,0,12
23973,2052,2055,2071,2211,0,3,254,724,1,3,465,778,0,0,0,0,0,0,0,0,0,0,0,0,0,13
24043,2053,2055,2071,2215,0,3,254,724,1,3,465,778,0,0,0,0,0,0,0,0,0,0,0,0,0,14
24114,2052,2055,2073,2220,0,3,254,724,1,3,465,778,0,0,0,0,0,0,0,0,0,0,0,0,0,15
24182,2053,2056,2073,2225,0,3,254,724,1,3,465,778,0,0,0,0,0,0,0,0,0,0,0,0,0,16
24256,2053,2056,2074,2230,0,3,254,724,1,3,465,778,0,0,0,0,0,0,0,0,0,0,0,0,0,17
24327,2054,2056,2075,2232,0,3,254,724,1,3,465,778,0,0,0,0,0,0,0,0,0,0,0,0,0,18
24397,2054,2056,2074,2235,0,3,254,724,1,3,465,778,0,0,0,0,0,0,0,0,0,0,0,0,0,19
24468,2054,2057,2075,2236,0,3,254,724,1,3,465,778,0,0,0,0,0,0,0,0,0,0,0,0,0,19
24539,2054,2057,2076,2238,0,3,254,724,1,3,465,778,0,0,0,0,0,0,0,0,0,0,0,0,0,20
24607,2055,2057,2076,2238,0,3,254,724,1,3,465,778,0,0,0,0,0,0,0,0,0,0,0,0,0,21
24681,2054,2056,2075,2238,0,3,254,724,1,3,465,778,0,0,0,0,0,0,0,0,0,0,0,0,0,22
24751,2054,2057,2076,2237,0,3,254,724,1,3,465,778,0,0,0,0,0,0,0,0,0,0,0,0,0,22
24830,2054,2058,2075,2235,0,3,254,724,1,3,465,778,0,0,0,0,0,0,0,0,0,0,0,0,0,23
24894,2055,2057,2075,2234,0,3,254,724,1,3,465,778,0,0,0,0,0,0,0,0,0,0,0,0,0,24
24964,2055,2057,2075,2232,0,3,254,724,1,3,465,778,0,0,0,0,0,0,0,0,0,0,0,0,0,24
25035,2054,2057,2075,2228,0,3,254,724,1,3,465,778,0,0,0,0,0,0,0,0,0,0,0,0,0,25
25106,2054,2057,2074,2226,0,3,254,724,1,3,465,778,0,0,0,0,0,0,0,0,0,0,0,0,0,25
25174,2054,2057,2073,2221,0,3,254,724,1,3,465,778,0,0,0,0,0,0,0,0,0,0,0,0,0,26
25248,2054,2056,2072,2218,0,3,254,724,1,3,465,778,0,0,0,0,0,0,0,0,0,0,0,0,0,26
25318,2054,2056,2071,2214,0,3,254,724,1,3,465,778,0,0,0,0,0,0,0,0,0,0,0,0,0,26
25389,2054,2056,2070,2211,0,3,254,724,1,3,465,778,0,0,0,0,0,0,0,0,0,0,0,0,0,27
