scanTime,CH1,CH2,CH3,CH4,id1,flag1,x1,y1,id2,flag2,x2,y2,id3,flag3,x3,y3,id4,flag4,x4,y4,id5,flag5,x5,y5,button,pressure
31777,2042,2041,2049,2184,0,3,264,656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31851,2043,2041,2050,2194,0,3,264,656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31924,2044,2046,2057,2266,0,3,264,656,1,3,457,690,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31995,2046,2047,2062,2309,0,3,264,656,1,3,457,690,0,0,0,0,0,0,0,0,0,0,0,0,0,3
32066,2048,2050,2067,2349,0,3,263,656,1,3,457,690,0,0,0,0,0,0,0,0,0,0,0,0,0,6
32137,2050,2053,2071,2385,0,3,263,655,1,3,456,689,0,0,0,0,0,0,0,0,0,0,0,0,0,9
32207,2051,2056,2075,2422,0,3,263,655,1,3,456,689,0,0,0,0,0,0,0,0,0,0,0,0,0,12
32278,2052,2058,2078,2451,0,3,262,654,1,3,456,689,0,0,0,0,0,0,0,0,0,0,0,0,0,15
32348,2054,2060,2081,2477,0,3,262,654,1,3,456,688,0,0,0,0,0,0,0,0,0,0,0,0,0,17
32419,2055,2062,2084,2501,0,3,262,654,1,3,456,688,0,0,0,0,0,0,0,0,0,0,0,0,0,20
32489,2056,2064,2088,2528,0,3,262,653,1,3,456,687,0,0,0,0,0,0,0,0,0,0,0,0,0,23
32560,2058,2067,2091,2548,0,3,261,653,1,3,456,687,0,0,0,0,0,0,0,0,0,0,0,0,0,26
32632,2060,2069,2095,2566,0,3,261,652,1,3,456,686,0,0,0,0,0,0,0,0,0,0,0,0,0,28
32701,2060,2070,2098,2584,0,3,261,651,1,3,456,685,0,0,0,0,0,0,0,0,0,0,0,0,0,30
32772,2062,2074,2102,2608,0,3,260,650,1,3,456,683,0,0,0,0,0,0,0,0,0,0,0,0,0,33
32842,2064,2076,2106,2630,0,3,260,648,1,3,456,681,0,0,0,0,0,0,0,0,0,0,0,0,0,36
32913,2065,2078,2110,2653,0,3,259,646,1,3,456,678,0,0,0,0,0,0,0,0,0,0,0,0,0,38
32984,2067,2081,2116,2677,0,3,258,644,1,3,456,676,0,0,0,0,0,0,0,0,0,0,0,0,0,41
33054,2068,2084,2120,2704,0,3,257,642,1,3,456,673,0,0,0,0,0,0,0,0,0,0,0,0,0,43
33122,2072,2088,2125,2735,0,3,256,640,1,3,456,669,0,0,0,0,0,0,0,0,0,0,0,0,0,45
33193,2073,2092,2131,2760,0,3,256,638,1,3,456,669,0,0,0,0,0,0,0,0,0,0,0,0,0,49
33264,2075,2096,2135,2783,0,3,255,637,1,3,456,668,0,0,0,0,0,0,0,0,0,0,0,0,0,52
33408,2078,2100,2139,2802,0,3,253,631,1,3,455,660,0,0,0,0,0,0,0,0,0,0,0,0,0,54
33478,2080,2105,2144,2819,0,3,252,628,1,3,454,658,0,0,0,0,0,0,0,0,0,0,0,0,0,56
33551,2082,2109,2147,2829,0,3,251,626,1,3,454,655,0,0,0,0,0,0,0,0,0,0,0,0,1,59
33621,2084,2114,2150,2835,0,3,250,623,1,3,453,650,0,0,0,0,0,0,0,0,0,0,0,0,1,61
33700,2086,2118,2154,2837,0,3,249,620,1,3,453,645,0,0,0,0,0,0,0,0,0,0,0,0,1,127
33763,2089,2123,2157,2836,0,3,247,616,1,3,452,640,0,0,0,0,0,0,0,0,0,0,0,0,1,128
33834,2090,2127,2160,2832,0,3,245,612,1,3,450,634,0,0,0,0,0,0,0,0,0,0,0,0,1,157
33904,2093,2131,2162,2827,0,3,243,608,1,3,449,629,0,0,0,0,0,0,0,0,0,0,0,0,1,130
33975,2096,2136,2164,2817,0,3,242,603,1,3,447,624,0,0,0,0,0,0,0,0,0,0,0,0,1,142
34046,2098,2139,2166,2803,0,3,240,598,1,3,445,620,0,0,0,0,0,0,0,0,0,0,0,0,1,148
34116,2100,2144,2168,2781,0,3,238,593,1,3,443,615,0,0,0,0,0,0,0,0,0,0,0,0,1,162
34187,2101,2147,2168,2754,0,3,237,588,1,3,441,610,0,0,0,0,0,0,0,0,0,0,0,0,1,150
34257,2102,2149,2167,2724,0,3,235,583,1,3,439,606,0,0,0,0,0,0,0,0,0,0,0,0,1,145
34328,2102,2152,2166,2691,0,3,234,578,1,3,437,602,0,0,0,0,0,0,0,0,0,0,0,0,1,154
34399,2102,2154,2163,2648,0,3,232,574,1,3,435,597,0,0,0,0,0,0,0,0,0,0,0,0,1,109
34470,2103,2155,2161,2610,0,3,231,570,1,3,434,592,0,0,0,0,0,0,0,0,0,0,0,0,1,113
34540,2104,2157,2158,2573,0,3,230,566,1,3,433,588,0,0,0,0,0,0,0,0,0,0,0,0,1,176
34611,2103,2158,2156,2537,0,3,229,562,1,3,431,583,0,0,0,0,0,0,0,0,0,0,0,0,1,178
34682,2104,2161,2153,2493,0,3,227,558,1,3,430,578,0,0,0,0,0,0,0,0,0,0,0,0,1,138
34762,2104,2162,2150,2458,0,3,226,554,1,3,429,574,0,0,0,0,0,0,0,0,0,0,0,0,1,146
34823,2105,2164,2146,2423,0,3,225,549,1,3,427,570,0,0,0,0,0,0,0,0,0,0,0,0,1,163
34894,2104,2166,2142,2389,0,3,223,544,1,3,426,566,0,0,0,0,0,0,0,0,0,0,0,0,1,179
34965,2105,2169,2139,2348,0,3,221,539,1,3,425,562,0,0,0,0,0,0,0,0,0,0,0,0,1,179
35035,2106,2174,2136,2319,0,3,219,534,1,3,424,557,0,0,0,0,0,0,0,0,0,0,0,0,1,157
35106,2107,2177,2133,2289,0,3,217,530,1,3,423,551,0,0,0,0,0,0,0,0,0,0,0,0,1,147
35177,2109,2183,2130,2260,0,3,215,525,1,3,422,545,0,0,0,0,0,0,0,0,0,0,0,0,1,162
35248,2110,2187,2127,2232,0,3,213,520,1,3,421,540,0,0,0,0,0,0,0,0,0,0,0,0,1,164
35317,2109,2190,2123,2197,0,3,211,516,1,3,420,534,0,0,0,0,0,0,0,0,0,0,0,0,1,112
35391,2111,2195,2120,2167,0,3,209,509,1,3,419,529,0,0,0,0,0,0,0,0,0,0,0,0,1,144
35462,2110,2197,2115,2137,0,3,207,503,1,3,418,526,0,0,0,0,0,0,0,0,0,0,0,0,1,132
