scanTime,CH1,CH2,CH3,CH4,id1,flag1,x1,y1,id2,flag2,x2,y2,id3,flag3,x3,y3,id4,flag4,x4,y4,id5,flag5,x5,y5,button,pressure
61411,2084,2365,2065,2178,0,2,199,326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61478,2092,2426,2069,2225,0,2,199,326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61556,2097,2468,2069,2260,0,2,199,326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61618,2102,2509,2070,2293,0,2,199,326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61699,2106,2545,2072,2326,0,2,199,326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61759,2112,2584,2072,2362,0,2,199,326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61833,2115,2612,2072,2392,0,2,199,326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61902,2119,2641,2072,2419,0,2,199,326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61972,2121,2660,2073,2442,0,2,199,326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62044,2123,2676,2073,2462,0,2,199,326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62113,2125,2687,2072,2476,0,2,199,326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62182,2125,2696,2071,2489,0,2,199,326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62254,2125,2699,2071,2495,0,2,199,326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62326,2125,2698,2070,2499,0,2,199,326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62394,2124,2694,2069,2497,0,2,199,326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62465,2124,2687,2067,2493,0,2,199,326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62538,2122,2679,2065,2488,0,2,199,326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62610,2121,2667,2064,2480,0,2,199,326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62680,2119,2659,2062,2473,0,2,199,326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
