scanTime,CH1,CH2,CH3,CH4,id1,flag1,x1,y1,id2,flag2,x2,y2,id3,flag3,x3,y3,id4,flag4,x4,y4,id5,flag5,x5,y5,button,pressure
55796,2060,2110,2049,2044,0,2,189,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55867,2065,2133,2053,2063,0,2,189,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55941,2068,2148,2055,2075,0,2,189,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56012,2070,2163,2058,2087,0,2,189,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56089,2073,2178,2059,2099,0,2,189,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56154,2077,2193,2062,2114,0,2,189,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56235,2080,2205,2065,2125,0,2,189,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56295,2082,2216,2067,2135,0,2,189,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56373,2083,2227,2068,2145,0,2,189,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56436,2085,2237,2070,2156,0,2,189,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56506,2088,2248,2073,2166,0,2,189,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56583,2090,2258,2074,2177,0,2,189,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56654,2091,2268,2076,2187,0,2,189,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56722,2094,2279,2078,2200,0,2,189,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56791,2096,2288,2080,2210,0,2,189,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56862,2098,2297,2082,2220,0,2,189,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56933,2099,2306,2083,2230,0,2,189,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57013,2102,2316,2085,2241,0,2,189,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57087,2103,2324,2086,2251,0,2,189,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57146,2104,2331,2088,2259,0,2,189,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57216,2107,2337,2089,2268,0,2,189,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57291,2107,2344,2091,2276,0,2,189,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57355,2109,2349,2092,2282,0,2,189,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57434,2109,2353,2093,2287,0,2,189,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57497,2110,2356,2094,2291,0,2,189,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57574,2111,2359,2095,2294,0,2,189,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57638,2112,2362,2094,2296,0,2,189,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57715,2112,2363,2095,2296,0,2,189,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57779,2113,2363,2096,2296,0,2,189,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57849,2113,2363,2095,2294,0,2,189,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57927,2112,2361,2095,2291,0,2,189,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57991,2112,2360,2095,2288,0,2,189,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58068,2110,2357,2095,2284,0,2,189,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58139,2109,2352,2093,2279,0,2,189,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58209,2109,2346,2093,2273,0,2,189,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58275,2109,2342,2092,2268,0,2,189,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58344,2106,2337,2091,2263,0,2,189,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58415,2106,2332,2090,2257,0,2,189,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58510,2104,2325,2089,2250,0,2,189,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58557,2104,2320,2088,2246,0,2,189,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58634,2103,2314,2088,2241,0,2,189,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58698,2102,2309,2087,2237,0,2,189,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58775,2099,2300,2085,2232,0,2,189,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
